10/10/24,,,,,,,,,,,
Cu, , ,NbTi, , ,Pb, , ,Dy, , 
Time,CG Voltage,Voltage,Time,CG Voltage,Voltage,Time,CG Voltage,Voltage,Time,CG Voltage,Voltage
2:31:29 PM,0.0120128,0.0003381,2:31:36 PM,0.0121208,0.0031201,2:31:42 PM,0.0121868,0.0001434,2:31:48 PM,0.012231,0.0005487
2:31:59 PM,0.0122768,0.0003078,2:32:06 PM,0.0122939,0.0031175,2:32:12 PM,0.012305,0.0001432,2:32:18 PM,0.0123117,0.0005499
2:32:29 PM,0.0123152,0.0003041,2:32:36 PM,0.0123147,0.0031174,2:32:42 PM,0.0123121,0.0001446,2:32:48 PM,0.0123077,0.0005543
2:32:59 PM,0.0122974,0.0003068,2:33:06 PM,0.0122898,0.0031182,2:33:12 PM,0.0122814,0.000146,2:33:18 PM,0.0122722,0.0005597
2:33:29 PM,0.0122536,0.0003125,2:33:36 PM,0.0122429,0.0031194,2:33:42 PM,0.0122318,0.0001475,2:33:48 PM,0.0122201,0.0005657
2:33:59 PM,0.0122005,0.0003192,2:34:06 PM,0.0121878,0.0031207,2:34:12 PM,0.0121703,0.0001492,2:34:18 PM,0.0121537,0.0005722
2:34:29 PM,0.0120808,0.0003352,2:34:36 PM,0.0120102,0.0031259,2:34:42 PM,0.0119442,0.0001538,2:34:49 PM,0.0118907,0.0005922
2:34:59 PM,0.0118298,0.0003707,2:35:06 PM,0.0117995,0.0031307,2:35:12 PM,0.0117551,0.0001607,2:35:19 PM,0.0117102,0.0006161
2:35:29 PM,0.0116506,0.0003977,2:35:36 PM,0.0116276,0.0031353,2:35:42 PM,0.0116073,0.000166,2:35:48 PM,0.011591,0.0006345
2:35:59 PM,0.0115628,0.0004112,2:36:06 PM,0.0115389,0.0031375,2:36:12 PM,0.0115166,0.0001686,2:36:19 PM,0.0115035,0.0006446
