10/3/2024
Cu	 	 	NbTi	 	 	Pb	 	 	Dy	 	 
Time	CG Voltage	Voltage	Time	CG Voltage	Voltage	Time	CG Voltage	Voltage	Time	CG Voltage	Voltage
4:11:31 PM	0.0056321	0.0029733	4:11:37 PM	0.0056360	0.0036766	4:11:44 PM	0.0056399	0.0006231	4:11:50 PM	0.0056438	0.0019119
4:12:01 PM	0.0056503	0.0029557	4:12:07 PM	0.0056542	0.0036740	4:12:14 PM	0.0056581	0.0006196	4:12:20 PM	0.0056620	0.0019088
4:12:31 PM	0.0056685	0.0029381	4:12:37 PM	0.0056725	0.0036715	4:12:44 PM	0.0056764	0.0006163	4:12:50 PM	0.0056804	0.0019055
4:13:01 PM	0.0056869	0.0029204	4:13:07 PM	0.0056909	0.0036689	4:13:14 PM	0.0056949	0.0006130	4:13:20 PM	0.0056988	0.0019024
4:13:31 PM	0.0057054	0.0029028	4:13:37 PM	0.0057094	0.0036664	4:13:44 PM	0.0057134	0.0006096	4:13:50 PM	0.0057173	0.0018992
4:14:01 PM	0.0057240	0.0028853	4:14:07 PM	0.0057280	0.0036642	4:14:14 PM	0.0057319	0.0006063	4:14:20 PM	0.0057359	0.0018959
4:14:31 PM	0.0057427	0.0028678	4:14:37 PM	0.0057466	0.0036613	4:14:44 PM	0.0057507	0.0006030	4:14:50 PM	0.0057547	0.0018929
4:15:01 PM	0.0057614	0.0028503	4:15:07 PM	0.0057655	0.0036588	4:15:14 PM	0.0057694	0.0005997	4:15:20 PM	0.0057735	0.0018897
4:15:31 PM	0.0057803	0.0028329	4:15:37 PM	0.0057843	0.0036562	4:15:44 PM	0.0057885	0.0005964	4:15:50 PM	0.0057924	0.0018866
4:16:01 PM	0.0057992	0.0028155	4:16:07 PM	0.0058035	0.0036537	4:16:14 PM	0.0058074	0.0005931	4:16:20 PM	0.0058116	0.0018834
4:16:31 PM	0.0058184	0.0027982	4:16:37 PM	0.0058225	0.0036513	4:16:44 PM	0.0058265	0.0005898	4:16:50 PM	0.0058306	0.0018803
4:17:01 PM	0.0058375	0.0027810	4:17:07 PM	0.0058416	0.0036491	4:17:14 PM	0.0058457	0.0005866	4:17:20 PM	0.0058499	0.0018771
4:17:31 PM	0.0058568	0.0027637	4:17:37 PM	0.0058609	0.0036466	4:17:44 PM	0.0058650	0.0005834	4:17:50 PM	0.0058692	0.0018741
4:18:01 PM	0.0058767	0.0027467	4:18:07 PM	0.0058810	0.0036444	4:18:14 PM	0.0058851	0.0005801	4:18:20 PM	0.0058892	0.0018710
4:18:31 PM	0.0058960	0.0027296	4:18:37 PM	0.0059003	0.0036419	4:18:44 PM	0.0059044	0.0005770	4:18:50 PM	0.0059086	0.0018680
4:19:01 PM	0.0059155	0.0027128	4:19:07 PM	0.0059196	0.0036395	4:19:14 PM	0.0059237	0.0005737	4:19:20 PM	0.0059279	0.0018650
4:19:31 PM	0.0059348	0.0026960	4:19:37 PM	0.0059390	0.0036372	4:19:44 PM	0.0059430	0.0005706	4:19:50 PM	0.0059473	0.0018620
4:20:01 PM	0.0059542	0.0026793	4:20:07 PM	0.0059583	0.0036349	4:20:14 PM	0.0059626	0.0005674	4:20:20 PM	0.0059668	0.0018591
4:20:31 PM	0.0059737	0.0026627	4:20:37 PM	0.0059779	0.0036326	4:20:44 PM	0.0059821	0.0005644	4:20:50 PM	0.0059862	0.0018561
4:21:01 PM	0.0059933	0.0026463	4:21:07 PM	0.0059975	0.0036302	4:21:14 PM	0.0060017	0.0005612	4:21:20 PM	0.0060059	0.0018532
4:21:31 PM	0.0060129	0.0026298	4:21:37 PM	0.0060172	0.0036279	4:21:44 PM	0.0060213	0.0005582	4:21:50 PM	0.0060254	0.0018502
4:22:01 PM	0.0060325	0.0026135	4:22:07 PM	0.0060367	0.0036256	4:22:14 PM	0.0060409	0.0005551	4:22:20 PM	0.0060450	0.0018473
4:22:31 PM	0.0060520	0.0025974	4:22:37 PM	0.0060563	0.0036232	4:22:44 PM	0.0060605	0.0005522	4:22:50 PM	0.0060646	0.0018445
4:23:01 PM	0.0060717	0.0025812	4:23:07 PM	0.0060759	0.0036209	4:23:14 PM	0.0060801	0.0005492	4:23:20 PM	0.0060843	0.0018417
4:23:31 PM	0.0060913	0.0025653	4:23:37 PM	0.0060956	0.0036187	4:23:44 PM	0.0060997	0.0005461	4:23:50 PM	0.0061041	0.0018388
4:24:01 PM	0.0061110	0.0025494	4:24:07 PM	0.0061152	0.0036163	4:24:14 PM	0.0061194	0.0005432	4:24:20 PM	0.0061236	0.0018360
4:24:31 PM	0.0061307	0.0025337	4:24:37 PM	0.0061349	0.0036142	4:24:44 PM	0.0061391	0.0005403	4:24:50 PM	0.0061432	0.0018334
4:25:01 PM	0.0061503	0.0025179	4:25:07 PM	0.0061545	0.0036119	4:25:14 PM	0.0061588	0.0005374	4:25:20 PM	0.0061629	0.0018304
4:25:31 PM	0.0061699	0.0025025	4:25:37 PM	0.0061740	0.0036096	4:25:44 PM	0.0061783	0.0005344	4:25:50 PM	0.0061825	0.0018278
4:26:01 PM	0.0061895	0.0024870	4:26:07 PM	0.0061937	0.0036074	4:26:14 PM	0.0061980	0.0005316	4:26:20 PM	0.0062022	0.0018253
4:26:31 PM	0.0062092	0.0024718	4:26:37 PM	0.0062134	0.0036052	4:26:44 PM	0.0062176	0.0005288	4:26:50 PM	0.0062219	0.0018226
4:27:01 PM	0.0062288	0.0024566	4:27:07 PM	0.0062330	0.0036029	4:27:14 PM	0.0062372	0.0005260	4:27:20 PM	0.0062415	0.0018200
4:27:31 PM	0.0062484	0.0024416	4:27:37 PM	0.0062526	0.0036006	4:27:44 PM	0.0062567	0.0005233	4:27:50 PM	0.0062611	0.0018175
4:28:01 PM	0.0062680	0.0024267	4:28:07 PM	0.0062721	0.0035984	4:28:14 PM	0.0062763	0.0005205	4:28:20 PM	0.0062805	0.0018149
4:28:31 PM	0.0062876	0.0024117	4:28:37 PM	0.0062918	0.0035964	4:28:44 PM	0.0062961	0.0005177	4:28:50 PM	0.0063002	0.0018124
4:29:01 PM	0.0063071	0.0023970	4:29:07 PM	0.0063113	0.0035943	4:29:14 PM	0.0063155	0.0005149	4:29:20 PM	0.0063198	0.0018099
